corruption,severity,model,accuracy,mean_confidence,overconfidence_gap,ece
clean,0,clf,0.7623,0.8316,0.0693,0.0805
clean,0,ret,0.6085,0.8357,0.2272,0.2272
blur,1,clf,0.7483,0.8279,0.0796,0.0815
blur,1,ret,0.6119,0.8431,0.2312,0.2312
blur,2,clf,0.7011,0.8047,0.1036,0.1089
blur,2,ret,0.6019,0.8448,0.243,0.243
blur,3,clf,0.5999,0.6951,0.0953,0.0953
blur,3,ret,0.5919,0.8581,0.2662,0.2662
jpeg,1,clf,0.757,0.8375,0.0805,0.0918
jpeg,1,ret,0.6178,0.8431,0.2252,0.2252
jpeg,2,clf,0.7297,0.8192,0.0895,0.0919
jpeg,2,ret,0.5992,0.8423,0.243,0.243
jpeg,3,clf,0.5399,0.6,0.0601,0.0805
jpeg,3,ret,0.4154,0.793,0.3776,0.3776
lowlight,1,clf,0.6838,0.7763,0.0925,0.0948
lowlight,1,ret,0.6172,0.835,0.2179,0.2179
lowlight,2,clf,0.4847,0.4913,0.0066,0.0981
lowlight,2,ret,0.6138,0.8371,0.2232,0.2232
lowlight,3,clf,0.0333,0.2727,0.2395,0.2395
lowlight,3,ret,0.5772,0.8272,0.25,0.25
noise,1,clf,0.7277,0.8,0.0723,0.0723
noise,1,ret,0.6178,0.8481,0.2302,0.2302
noise,2,clf,0.1332,0.3773,0.2441,0.2441
noise,2,ret,0.5766,0.8435,0.2669,0.2669
noise,3,clf,0.0146,0.2849,0.2703,0.2704
noise,3,ret,0.3975,0.78,0.3825,0.3825
rotate,1,clf,0.6824,0.7432,0.0608,0.0778
rotate,1,ret,0.5746,0.8216,0.247,0.247
rotate,2,clf,0.6944,0.7434,0.049,0.0546
rotate,2,ret,0.5799,0.8265,0.2466,0.2466
rotate,3,clf,0.6312,0.6775,0.0463,0.0562
rotate,3,ret,0.5719,0.8311,0.2592,0.2592
