corruption,severity,clf_acc,clf_balanced,clf_mel_recall,ret_acc,ret_balanced,ret_mel_recall
clean,0,0.7623,0.7451,0.5569,0.6085,0.5248,0.4731
blur,1,0.7483,0.7126,0.4192,0.6119,0.5178,0.4311
blur,2,0.7011,0.6252,0.1976,0.6019,0.5109,0.4072
blur,3,0.5999,0.4707,0.0419,0.5919,0.4236,0.4012
jpeg,1,0.757,0.6972,0.3832,0.6178,0.4979,0.4192
jpeg,2,0.7297,0.6238,0.2275,0.5992,0.4451,0.3892
jpeg,3,0.5399,0.3733,0.012,0.4154,0.298,0.3353
lowlight,1,0.6838,0.4566,0.2934,0.6172,0.5471,0.479
lowlight,2,0.4847,0.2199,0.024,0.6138,0.5566,0.4611
lowlight,3,0.0333,0.0961,0.0,0.5772,0.4482,0.503
noise,1,0.7277,0.5763,0.6467,0.6178,0.467,0.4251
noise,2,0.1332,0.1861,0.006,0.5766,0.4219,0.4431
noise,3,0.0146,0.1081,0.0,0.3975,0.2643,0.491
rotate,1,0.6824,0.6368,0.3653,0.5746,0.5067,0.4611
rotate,2,0.6944,0.4858,0.1317,0.5799,0.5007,0.5329
rotate,3,0.6312,0.404,0.0838,0.5719,0.4834,0.497
